"scene_id","title","release_year","scene_location","scene_location","production_co","director","filming_type","zip_code","start_date","end_date"
"386254","Bullitt","1968","Larkin & Chestnut Streets (Russian Hill)","larkin & chestnut streets (russian hill)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94109","2/9/1968","2/12/1968"
"562021","Bullitt","1968","Kennedy Hotel (226 Embarcadero at Howard Street)","kennedy hotel (226 embarcadero at howard street)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94133","2/16/1968","2/19/1968"
"557615","Bullitt","1968","John Muir Drive (Lake Merced)","john muir drive (lake merced)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94132","7/19/1968","7/22/1968"
"701030","Bullitt","1968","Intersection of York & Peralta (Bernal Heights)","intersection of york & peralta (bernal heights)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94110","8/7/1968","8/10/1968"
"626232","Bullitt","1968","Filbert & Taylor Streets (Russian Hill)","filbert & taylor streets (russian hill)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94133","8/5/1968","8/8/1968"
"279025","Bullitt","1968","Enrico's Café (504 Broadway)","enrico's café (504 broadway)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94133","2/28/1968","3/2/1968"
"387470","Bullitt","1968","Columbus & Lombard Streets (North Beach)","columbus & lombard streets (north beach)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94133","1/20/1968","1/23/1968"
"826779","Bullitt","1968","Cesar Chavez & Mission Street (Mission)","cesar chavez & mission street (mission)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94110","12/4/1968","12/7/1968"
"626419","Bullitt","1968","Candlestick Park Exit, Highway 101","candlestick park exit highway 101","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94124","12/24/1968","12/27/1968"
"653423","Bullitt","1968","Café Cantata (2040 Union Street)","café cantata (2040 union street)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94123","8/5/1968","8/8/1968"
"449143","Bullitt","1968","Brocklebank Apartments (1000 Mason Street)","brocklebank apartments (1000 mason street)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94108","11/21/1968","11/24/1968"
"160988","Bullitt","1968","Bay Bridge","bay bridge","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94612","12/25/1968","12/28/1968"
"438090","Bullitt","1968","2700 Vallejo Street (Pacific Heights)","2700 vallejo street (pacific heights)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94123","6/11/1968","6/14/1968"
"644405","Bullitt","1968","20th & Vermont Streets (Potrero Hill)","20th & vermont streets (potrero hill)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94107","8/16/1968","8/19/1968"
"754005","Bullitt","1968","1153-57 Taylor Street","1153-57 taylor street","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94108","7/6/1968","7/9/1968"
"433779","Petulia","1968","Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park","japanese tea garden hagiwara tea garden drive golden gate park","Warner Brothers / Seven Arts","Richard Lester","Feature Film","94118","10/1/1968","10/4/1968"
"554197","Petulia","1968","Fairmont Hotel (950 Mason Street, Nob Hill)","fairmont hotel (950 mason street nob hill)","Warner Brothers / Seven Arts","Richard Lester","Feature Film","94108","10/20/1968","10/23/1968"
"951364","Petulia","1968","Pier 43 1/2","pier 43 1/2","Warner Brothers / Seven Arts","Richard Lester","Feature Film","94133","4/16/1968","4/19/1968"
"781166","Petulia","1968","Cala Foods (California Street and Hyde)","cala foods (california street and hyde)","Warner Brothers / Seven Arts","Richard Lester","Feature Film","94109","2/15/1968","2/18/1968"
"380481","Petulia","1968","307 Filbert Street","307 filbert street","Warner Brothers / Seven Arts","Richard Lester","Feature Film","94133","8/14/1968","8/17/1968"
"685573","Petulia","1968","2417 Franklin Street","2417 franklin street","Warner Brothers / Seven Arts","Richard Lester","Feature Film","94123","8/11/1968","8/14/1968"
"155181","Petulia","1968","Fort Point (Presidio, Golden Gate National Recreation Area)","fort point (presidio golden gate national recreation area)","Warner Brothers / Seven Arts","Richard Lester","Feature Film","94129","7/6/1968","7/9/1968"
"755515","The Love Bug","1968","Golden Gate Bridge","golden gate bridge","Walt Disney Productions","Robert Stevenson","Feature Film","94129","2/28/1968","3/2/1968"
"191702","The Love Bug","1968","100 Block of Lombard Street","100 block of lombard street","Walt Disney Productions","Robert Stevenson","Feature Film","94111","11/24/1968","11/27/1968"
"197017","Take the Money and Run","1969","Mission Street","mission street","American Broadcasting Company (ABC)","Woody Allen","Feature Film","94110","2/8/1969","2/11/1969"
"710595","Take the Money and Run","1969","Golden Gate Park","golden gate park","American Broadcasting Company (ABC)","Woody Allen","Feature Film","94121","11/14/1969","11/17/1969"
"315758","Take the Money and Run","1969","Bank of America (1455 Stockton Street)","bank of america (1455 stockton street)","American Broadcasting Company (ABC)","Woody Allen","Feature Film","94133","12/4/1969","12/7/1969"
"892390","Dirty Harry","1971","Marina Green, Marina District","marina green marina district","The Malpaso Company","Don Siegel","Feature Film","94123","3/23/1971","3/26/1971"
"123578","Dirty Harry","1971","Washington Square, North Beach","washington square north beach","The Malpaso Company","Don Siegel","Feature Film","94133","12/10/1971","12/13/1971"
"954660","Dirty Harry","1971","The Embarcadero","the embarcadero","The Malpaso Company","Don Siegel","Feature Film","94105","12/21/1971","12/24/1971"
